('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1046056 function calls (1020540 primitive calls) in 44.380 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       82    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
  288/281    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     3777    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
        1    0.001    0.001    0.008    0.008 element.py:530(get_text)
       33    0.001    0.000    0.002    0.000 request.py:2510(getproxies_environment)
        9    0.001    0.000    3.386    0.376 client.py:329(begin)
      270    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      762    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      975    0.001    0.000    0.001    0.000 typing.py:1134(_is_dunder)
       16    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
     1161    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      359    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
     2494    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      193    0.001    0.000    3.381    0.018 {method 'readline' of '_io.BufferedReader' objects}
      354    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
       18    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
      616    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      541    0.001    0.000    0.002    0.000 enum.py:726(__call__)
  142/137    0.001    0.000    0.005    0.000 css_parser.py:395(freeze)
      193    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
      193    0.001    0.000    0.067    0.000 _compiler.py:573(_code)
     1320    0.000    0.000    0.001    0.000 <frozen os>:703(__iter__)
      311    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
       64    0.000    0.000    0.005    0.000 typing.py:687(Union)
      9/3    0.000    0.000   38.414   12.805 sessions.py:676(send)
      392    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        8    0.000    0.000    0.001    0.000 __init__.py:1428(_fixupParents)
      415    0.000    0.000    0.001    0.000 _parser.py:265(getwhile)
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
     1563    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
  772/706    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      541    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
      270    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      164    0.000    0.000    0.004    0.000 _markupbase.py:165(parse_comment)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      703    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      311    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
  255/252    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
  215/179    0.000    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
      354    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       10    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    1.896    1.896 financial.py:10(submit_yahoo_consent)
        1    0.000    0.000    0.004    0.004 packages.py:1(<module>)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
