('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1043035 function calls (1017517 primitive calls) in 15.800 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      354    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
  215/179    0.000    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
      293    0.000    0.000    0.540    0.002 <frozen importlib._bootstrap_external>:1520(find_spec)
       84    0.000    0.000    0.392    0.005 response.py:1346(_handle_chunk)
      567    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        9    0.000    0.000    0.004    0.000 connection.py:424(request)
     1016    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
  772/706    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      541    0.000    0.000    0.127    0.000 enum.py:1129(__new__)
        7    0.000    0.000    0.000    0.000 socket.py:221(__init__)
      708    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      779    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       13    0.000    0.000    0.001    0.000 parse.py:469(urlsplit)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       68    0.000    0.000    0.001    0.000 client.py:1312(putheader)
        9    0.000    0.000    0.004    0.000 utils.py:851(resolve_proxies)
       72    0.000    0.000    0.001    0.000 message.py:494(get)
       66    0.000    0.000    0.001    0.000 message.py:529(get_all)
       28    0.000    0.000    0.049    0.002 enum.py:254(__set_name__)
     1386    0.000    0.000    0.002    0.000 <frozen _collections_abc>:868(__iter__)
      898    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    2.194    2.194 financial.py:10(submit_yahoo_consent)
       98    0.000    0.000    0.772    0.008 utils.py:265(is_multi_byte_encoding)
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      9/3    0.000    0.000    9.243    3.081 sessions.py:676(send)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
  459/439    0.000    0.000    0.013    0.000 {built-in method builtins.next}
      254    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
    80/48    0.000    0.000    2.026    0.042 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      254    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      524    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
        9    0.000    0.000    0.001    0.000 feedparser.py:469(_parse_headers)
        6    0.000    0.000    0.027    0.005 typing.py:2780(__new__)
       26    0.000    0.000    0.002    0.000 feedparser.py:216(_parsegen)
        9    0.000    0.000    0.001    0.000 _collections.py:341(extend)
      898    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      696    0.000    0.000    0.000    0.000 socket.py:732(readable)
      142    0.000    0.000    0.003    0.000 css_types.py:203(__init__)
      210    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       33    0.000    0.000    0.004    0.000 cookiejar.py:1599(make_cookies)
      784    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      164    0.000    0.000    0.004    0.000 _htmlparser.py:269(handle_comment)
       88    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
       55    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
       23    0.000    0.000    0.051    0.002 enum.py:528(__new__)
      112    0.000    0.000    0.127    0.001 enum.py:1551(__or__)
      726    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      325    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       31    0.000    0.000    0.001    0.000 cookiejar.py:1015(set_ok_domain)
        1    0.000    0.000    0.077    0.077 dammit.py:1(<module>)
      107    0.000    0.000    0.001    0.000 cookies.py:349(set_cookie)
      170    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
      333    0.000    0.000    0.494    0.001 <frozen importlib._bootstrap_external>:159(_path_isfile)
       33    0.000    0.000    0.026    0.001 cookies.py:124(extract_cookies_to_jar)
       55    0.000    0.000    0.003    0.000 typing.py:1449(__getitem__)
      204    0.000    0.000    0.001    0.000 cookies.py:49(get_full_url)
        2    0.000    0.000    0.085    0.043 request.py:1(<module>)
        3    0.000    0.000    0.910    0.303 ssl_.py:225(create_urllib3_context)
       41    0.000    0.000    0.003    0.000 cookiejar.py:1096(return_ok)
       88    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
        1    0.000    0.000    0.001    0.001 timeout.py:1(<module>)
        9    0.000    0.000    0.001    0.000 response.py:722(__init__)
      539    0.000    0.000    0.891    0.002 models.py:818(generate)
       88    0.000    0.000    0.001    0.000 typing_extensions.py:3228(_collect_parameters)
       31    0.000    0.000    0.020    0.001 cookiejar.py:949(set_ok)
        9    0.000    0.000    0.000    0.000 threading.py:277(__init__)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      318    0.000    0.000    0.244    0.001 __init__.py:226(compile)
       12    0.000    0.000    0.002    0.000 url.py:367(parse_url)
      336    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
       22    0.000    0.000    0.000    0.000 cookiejar.py:1389(_normalized_cookie_tuples)
      318    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      302    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
      144    0.000    0.000    0.001    0.000 <frozen os>:680(__getitem__)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
        1    0.000    0.000    0.385    0.385 ssl.py:1(<module>)
       21    0.000    0.000    0.003    0.000 utils.py:752(should_bypass_proxies)
      294    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        9    0.000    0.000    8.236    0.915 connectionpool.py:377(_make_request)
     93/3    0.000    0.000    1.409    0.470 __init__.py:73(import_module)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
    84/53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      322    0.000    0.000    0.001    0.000 css_parser.py:248(css_unescape)
       95    0.000    0.000    0.001    0.000 parse.py:947(quote_from_bytes)
      199    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
        9    0.000    0.000    8.283    0.920 connectionpool.py:592(urlopen)
       22    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       72    0.000    0.000    0.017    0.000 cookiejar.py:550(domain_match)
      747    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      177    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
        1    0.000    0.000    0.137    0.137 css_parser.py:1(<module>)
       31    0.000    0.000    0.001    0.000 cookiejar.py:1486(_cookie_from_cookie_tuple)
      145    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      316    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       86    0.000    0.000    0.001    0.000 response.py:1328(_update_chunk_length)
       50    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
        9    0.000    0.000    8.307    0.923 adapters.py:591(send)
       22    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        9    0.000    0.000    0.096    0.011 client.py:218(_read_headers)
      377    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      533    0.000    0.000    0.000    0.000 response.py:187(has_unconsumed_tail)
      107    0.000    0.000    0.000    0.000 cookiejar.py:1667(set_cookie)
      354    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      812    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       42    0.000    0.000    0.001    0.000 queue.py:154(get)
      707    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
       62    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
        9    0.000    0.000    0.004    0.000 parser.py:56(parsestr)
       64    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
        9    0.000    0.000    3.334    0.370 client.py:296(_read_status)
       63    0.000    0.000    0.001    0.000 parser.py:124(set_cdata_mode)
      311    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:982(find_spec)
      285    0.000    0.000    0.001    0.000 css_parser.py:344(match)
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        9    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
      353    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
       12    0.000    0.000    0.002    0.000 utils.py:206(get_netrc_auth)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
        1    0.000    0.000    9.273    9.273 financial.py:46(get_financial_page)
