('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1044928 function calls (1019376 primitive calls) in 9.848 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      715    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      708    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      704    0.000    0.000    0.000    0.000 socket.py:732(readable)
      695    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      695    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      695    0.001    0.000    3.450    0.005 ssl.py:1095(read)
      695    3.449    0.005    3.449    0.005 {method 'read' of '_ssl._SSLSocket' objects}
      695    0.002    0.000    3.456    0.005 socket.py:693(readinto)
      695    0.003    0.000    3.453    0.005 ssl.py:1237(recv_into)
    641/9    0.002    0.000    2.062    0.229 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      616    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      594    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      581    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      567    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      553    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      549    0.000    0.000    0.311    0.001 response.py:1231(stream)
      549    0.000    0.000    0.311    0.001 models.py:818(generate)
      544    0.001    0.000    0.028    0.000 response.py:619(_decode)
      543    0.008    0.000    0.027    0.000 response.py:137(decompress)
      543    0.000    0.000    0.000    0.000 response.py:187(has_unconsumed_tail)
      541    0.000    0.000    0.045    0.000 enum.py:1129(__new__)
      541    0.001    0.000    0.045    0.000 enum.py:726(__call__)
      539    0.019    0.000    0.019    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      534    0.005    0.000    0.491    0.001 <frozen importlib._bootstrap_external>:1593(find_spec)
      534    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      533    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      530    0.001    0.000    0.288    0.001 response.py:1368(read_chunked)
      524    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
      519    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
  519/173    0.001    0.000    0.001    0.000 cookiejar.py:1227(deepvalues)
      508    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      508    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      496    0.003    0.000    0.005    0.000 css_types.py:41(__init__)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
  459/439    0.000    0.000    0.011    0.000 {built-in method builtins.next}
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      423    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      417    0.000    0.000    0.000    0.000 parse.py:108(_noop)
      417    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
      415    0.000    0.000    0.001    0.000 _parser.py:265(getwhile)
      404    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
      404    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      392    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      390    0.478    0.001    0.738    0.002 {method 'read' of '_io.BufferedReader' objects}
      386    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      386    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      386    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
